stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
1.576	0	0.4	6.3	0	0	8.5	0.4	0	1.3	0	0	0	0	0	0	105.9	0	775.8	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	3.1	0	42.9	0	2.7	0	0	0	50.5	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
1.982	0	0	1.8	0	0	5.3	0	0	1.8	0	0	0	0	0	0	60.6	0	909.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8	0	0	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.658	0	0.7	1.4	0	0	36.4	0	0	1.4	0	0	0	0	0	0	57.3	0	861.6	0	0	0	0	0	0	0	0	2	0.7	0	0	0	0	0	0	0	0	0	30.1	0	0	0	0	0	7.7	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.199	0	0.900180036007201	5.50110022004401	0	0	20.3040608121624	0	0	0	0	0	0	0	0	0	39.7079415883177	0	920.684136827365	0	0	0	0	0	0	0	0	5.50110022004401	0	0	0	0	0	0	0	0	0	0	7.40148029605921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.011	0	0	1.7	0	0	9.7	0	0	0.4	0	0	0	0	0	0	42.6	0	938.5	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0.4	0	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.552	0	1.1002200440088	0	0	0	16.8033606721344	0	0	7.80156031206241	0	0	0	0	0	0	44.8089617923585	0	926.185237047409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1002200440088	0	2.2004400880176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.6	0	0	0	0	0	18.8037607521504	0	0	4.30086017203441	0	0	0	0	0	0	43.4086817363473	0	900.280056011202	0	0	0	0	0	0	1.4002800560112	0	1.4002800560112	0	0	0	0	0	1.4002800560112	0	0	8.70174034806961	0	17.4034806961392	0	0	0	0	0	2.9005801160232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.298	0	0	6.29874025194961	0	0	17.49650069986	0	0	1.2997400519896	0	0	0	0	0	0	94.9810037992402	0	856.128774245151	0	0	0	0	0	0	0	0	7.49850029994001	0	0	0	0	0	0	0	0	8.79824035192961	0	7.49850029994001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.346	0	0	4.2004200420042	0	0	50.7050705070507	0	0	0	0	0	0	0	0	0	219.62196219622	0	696.969696969697	0	0	0	0	0	0	0	0	15.9015901590159	0	0	0	0	0	4.2004200420042	0	0	0	0	4.2004200420042	0	0	0	0	0	4.2004200420042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.044	0	0	7.7	0	0	71.6	0	0	28.1	0	0	0	0	0	0	447.6	0	419.4	0	0	0	0	0	0	0	0	7.7	10.2	0	0	0	0	2.6	0	0	5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.328	0	0	0	0	0	132.013201320132	0	0	23.1023102310231	0	0	0	0	3.3003300330033	0	465.346534653465	0	339.93399339934	0	0	0	0	0	0	0	3.3003300330033	9.9009900990099	0	0	0	0	0	3.3003300330033	0	0	3.3003300330033	0	16.5016501650165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
