stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0.1	0	0	3.2	0	0	9.5	0	0	0	0	0	0	0	0	0	19.1	0	800	0	0	0	0	0	0	0	0	12.7	9.5	0	0	0	0	9.5	0	0	0	0	0	0	85.7	0	0	0	44.4	0	0	0	0	0	6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.14	0	0	1.4	0	0	5.8	0	0	0	0	0	0	0	0	0	39	0	884.6	0	0	0	0	0	0	0	0	13	8.7	0	0	0	0	1.4	0	0	0	0	2.9	0	27.4	0	0	0	14.4	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.18	0	0	0	0	0	0	0	0	4.8995100489951	0	0	0	0	0	0	14.5985401459854	0	863.313668633137	0	0	0	0	0	0	0	0	9.7990200979902	4.8995100489951	0	0	0	0	0	0	0	0	0	0	0	68.2931706829317	0	0	0	34.1965803419658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.1931806819318	0	715.128487151285	0	0	0	0	0	0	0	0	22.6977302269773	9.0990900909909	0	0	0	0	1.4998500149985	0	0	2.999700029997	0	4.5995400459954	0	57.5942405759424	1.4998500149985	0	0	116.688331166883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.26	0	0	7.5992400759924	0	0	3.7996200379962	0	0	0	0	0	0	0	0	0	22.5977402259774	0	784.821517848215	0	0	0	0	0	0	0	0	22.5977402259774	15.0984901509849	0	0	0	0	0	0	0	7.5992400759924	0	0	0	113.188681131887	0	0	0	18.8981101889811	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7996200379962	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3	0	0	0	0	0	5.3994600539946	0	0	5.3994600539946	0	0	0	0	0	0	61.7938206179382	0	792.920707929207	0	0	0	0	0	0	0	0	8.0991900809919	2.6997300269973	0	0	0	0	0	0	0	0	0	10.7989201079892	0	83.2916708329167	0	0	0	18.7981201879812	0	0	0	2.6997300269973	0	0	0	8.0991900809919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.34	0	0	0	0	0	2.8002800280028	0	0	0	0	0	0	0	0	0	35.7035703570357	0	914.891489148915	0	0	0	0	0	0	0	0	13.7013701370137	5.5005500550055	0	0	0	0	0	0	0	0	0	0	0	19.2019201920192	0	0	0	8.2008200820082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.38	0	2.0997900209979	0	0	0	8.4991500849915	0	0	2.0997900209979	0	0	0	0	0	0	61.2938706129387	0	854.014598540146	0	0	0	0	0	0	0	0	10.5989401059894	8.4991500849915	0	0	0	0	0	0	0	2.0997900209979	0	0	0	38.0961903809619	0	0	0	10.5989401059894	0	0	0	0	0	0	0	2.0997900209979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.42	0	0	0	0	0	15.6984301569843	0	0	0	0	0	0	0	0	0	29.0970902909709	0	827.617238276172	0	0	0	0	0	0	0	0	15.6984301569843	8.999100089991	0	0	0	0	0	0	0	2.1997800219978	0	8.999100089991	0	71.5928407159284	2.1997800219978	0	0	17.8982101789821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.46	0	0	1.99940017994602	0	0	1.99940017994602	0	0	5.89823053084075	0	0	0	0	0	0	13.6958912326302	0	888.633409977007	0	0	0	0	0	0	0	0	17.4947515745276	5.89823053084075	0	0	0	0	0	0	0	0	0	0	0	38.9883035089473	0	0	0	23.3929821053684	0	0	0	0	0	1.99940017994602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
