stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0.04	0	0	0	0	8.7	13	4.3	4.3	2.2	0	0	0	0	0	0	67.1	0	558.4	0	0	0	0	0	0	0	0	28.1	6.5	0	0	0	0	4.3	0	0	13	0	151.5	0	2.2	0	0	0	134.2	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.08	0	0	0	0	2.5997400259974	2.5997400259974	0	10.1989801019898	0	0	0	0	0	0	0	58.7941205879412	0	498.650134986501	0	0	0	0	0	0	0	0	15.2984701529847	5.0994900509949	0	0	0	0	2.5997400259974	0	0	7.6992300769923	0	240.37596240376	0	0	0	0	0	153.484651534847	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5997400259974	0	0	0	0	0	0	0	0	0	0	0	0	0
0.13	0	1.99940017994602	9.79706088173548	0	0	1.99940017994602	0	3.89883035089473	7.89763071078676	0	0	0	0	0	0	47.185844246726	0	677.596720983705	0	0	0	0	0	0	0	0	15.6952914125762	5.89823053084075	0	0	0	0	1.99940017994602	0	0	7.89763071078676	0	68.779366190143	0	1.99940017994602	0	0	0	145.356393082075	0	0	0	0	0	0	0	1.99940017994602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.18	0	0	14.7029405881176	0	0	11.8023604720944	0	5.90118023604721	8.80176035207042	0	0	0	0	0	0	108.821764352871	0	444.188837767554	0	0	0	0	0	0	5.90118023604721	0	5.90118023604721	2.9005801160232	0	0	0	0	2.9005801160232	0	0	8.80176035207042	0	252.950590118024	0	0	0	0	0	117.623524704941	0	0	0	0	0	2.9005801160232	0	0	0	0	0	0	0	5.90118023604721	0	0	0	0	0	0	0	0	0	0	0	0	0
0.23	0	3.09938012397521	6.29874025194961	0	0	9.39812037592482	3.09938012397521	3.09938012397521	15.5968806238752	0	0	0	0	0	0	112.4775044991	0	393.72125574885	0	0	0	0	0	0	0	0	31.2937412517496	6.29874025194961	0	0	0	0	6.29874025194961	0	0	6.29874025194961	0	290.541891621676	0	0	0	0	0	112.4775044991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.28	0	5.29894021195761	21.0957808438312	0	5.29894021195761	10.497900419916	0	0	21.0957808438312	0	0	0	0	0	0	73.6852629474105	0	457.808438312338	0	0	0	0	0	0	0	0	52.5894821035793	5.29894021195761	0	0	0	0	0	0	0	21.0957808438312	0	226.25474905019	0	0	0	0	0	94.6810637872426	0	0	0	5.29894021195761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.33	0	1.7001700170017	8.5008500850085	0	6.8006800680068	5.1005100510051	0	1.7001700170017	10.3010301030103	0	0	0	0	0	0	104.310431043104	0	323.132313231323	0	0	0	0	0	0	0	0	13.7013701370137	6.8006800680068	0	0	0	0	5.1005100510051	0	0	3.4003400340034	0	196.619661966197	0	0	0	0	0	312.831283128313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.38	0	0	0	0	2.2002200220022	4.4004400440044	4.4004400440044	2.2002200220022	22.1022102210221	0	0	0	0	0	0	121.412141214121	0	267.126712671267	0	0	0	0	0	0	0	0	6.6006600660066	2.2002200220022	0	0	0	0	0	0	0	8.8008800880088	0	404.040404040404	0	0	0	0	0	145.714571457146	0	0	0	4.4004400440044	0	0	0	0	0	0	0	0	0	4.4004400440044	0	0	0	0	0	0	0	0	0	0	0	0	0
0.43	0	1.7003400680136	8.50170034006801	0	1.7003400680136	5.10102020404081	0	1.7003400680136	10.3020604120824	0	0	0	0	0	0	141.928385677135	0	261.552310462092	0	0	0	0	0	0	0	0	17.1034206841368	12.002400480096	0	0	0	0	8.50170034006801	0	0	22.2044408881776	0	333.366673334667	0	5.10102020404081	0	0	0	162.432486497299	0	0	0	0	0	0	0	0	0	0	0	0	0	6.80136027205441	0	0	0	0	0	0	0	0	0	0	0	0	0
0.48	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	132.1	0	171.2	0	0	0	0	0	0	0	0	3	6	0	0	0	0	6	0	0	6	0	255.3	0	3	0	0	0	396.4	0	0	0	0	0	6	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.53	0	1.9001900190019	5.8005800580058	0	0	3.8003800380038	0	0	1.9001900190019	0	0	0	0	0	0	221.222122212221	0	257.725772577258	0	0	0	0	0	0	0	0	34.6034603460346	17.3017301730173	0	0	0	0	7.7007700770077	0	0	1.9001900190019	0	269.226922692269	0	0	0	0	0	176.917691769177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.58	0	0	0	0	4.4995500449955	6.7993200679932	0	6.7993200679932	4.4995500449955	0	0	0	0	0	0	245.975402459754	0	209.87901209879	0	0	0	0	0	0	2.2997700229977	0	8.999100089991	6.7993200679932	0	0	0	0	15.7984201579842	0	0	6.7993200679932	0	381.461853814619	0	0	0	0	0	97.0902909709029	0	0	0	0	0	0	0	2.2997700229977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.63	0	0	0	0	5.30106021204241	8.90178035607121	0	3.500700140028	0	0	0	0	0	0	0	216.343268653731	0	239.447889577916	0	0	0	0	0	0	0	0	30.1060212042408	3.500700140028	0	0	0	0	7.10142028405681	0	0	58.5117023404681	0	319.163832766553	0	5.30106021204241	0	0	0	102.820564112823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.68	0	0	0	0	0	2.4	0	2.4	2.4	0	0	0	0	0	0	258.5	0	224.6	0	0	0	0	0	0	4.8	0	12.1	12.1	0	0	0	0	24.2	0	0	7.2	0	355.1	0	0	0	0	0	94.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.73	0	0	0	0	3.5996400359964	12.4987501249875	1.7998200179982	5.2994700529947	12.4987501249875	0	0	0	0	0	0	286.471352864713	0	215.278472152785	0	0	0	0	0	0	0	0	5.2994700529947	5.2994700529947	0	0	0	0	3.5996400359964	0	0	14.1985801419858	0	279.372062793721	0	5.2994700529947	0	0	0	147.685231476852	0	0	0	0	0	1.7998200179982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.78	0	0	0	0	2.5997400259974	7.7992200779922	5.1994800519948	2.5997400259974	0	0	0	0	0	0	0	174.482551744825	0	289.071092890711	0	0	0	0	0	0	0	0	33.8966103389661	7.7992200779922	0	0	0	0	7.7992200779922	0	0	10.3989601039896	0	356.764323567643	0	0	0	0	0	93.7906209379062	0	0	0	0	0	5.1994800519948	0	0	0	0	0	0	0	2.5997400259974	0	0	0	0	0	0	0	0	0	0	0	0	0
0.83	0	0	0	0	7.20144028805761	19.9039807961592	5.40108021604321	12.6025205041008	16.2032406481296	0	0	0	0	0	0	225.645129025805	0	207.641528305661	0	0	0	0	0	0	0	0	10.8021604320864	10.8021604320864	0	0	0	0	28.9057811562312	0	0	50.5101020204041	0	261.752350470094	0	10.8021604320864	0	0	0	128.225645129026	0	0	0	0	0	3.60072014402881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.88	0	0	4.7995200479952	0	2.3997600239976	7.1992800719928	0	2.3997600239976	2.3997600239976	0	0	0	0	0	0	431.656834316568	0	189.381061893811	0	0	0	0	0	0	14.3985601439856	0	14.3985601439856	4.7995200479952	0	0	0	0	35.996400359964	0	0	9.5990400959904	0	227.777222277772	0	0	0	0	0	50.3949605039496	0	0	0	0	0	0	0	2.3997600239976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.92	0	0	0	0	3.79924015196961	3.79924015196961	0	9.49810037992401	7.59848030393921	0	0	0	0	0	0	325.734853029394	0	231.053789242152	0	0	0	0	0	0	0	0	34.0931813637273	18.8962207558488	0	0	0	0	15.1969606078784	0	0	30.2939412117576	0	198.860227954409	0	5.69886022795441	0	0	0	115.476904619076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.98	0	2.6	0	0	0	5.3	0	2.6	2.6	0	0	0	0	0	0	500	0	126.3	0	0	0	0	0	0	13.2	0	2.6	7.9	0	0	0	0	15.8	0	0	13.2	0	205.3	0	0	0	0	0	102.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.02	0	0	0	0	0	0	0	2.4002400240024	2.4002400240024	0	0	0	0	0	0	362.136213621362	0	189.418941894189	0	0	0	0	0	0	0	0	9.6009600960096	16.8016801680168	0	0	0	0	14.4014401440144	0	0	74.3074307430743	0	203.820382038204	0	0	0	0	0	124.712471247125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.08	0	0	0	0	0	2.80084025207562	0	0	2.80084025207562	0	0	0	0	0	0	454.936480944283	0	183.655096528959	0	0	0	0	0	5.60168050415125	19.8059417825348	0	5.60168050415125	5.60168050415125	0	0	0	0	73.4220266079824	0	0	16.9050715214564	0	194.958487546264	0	2.80084025207562	0	0	0	31.10933279984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.12	0	0	0	0	5.80116023204641	11.7023404680936	0	1.9003800760152	1.9003800760152	0	0	0	0	0	0	377.47549509902	0	219.843968793759	0	0	0	0	0	0	0	0	23.3046609321864	21.4042808561712	0	0	0	0	54.5109021804361	0	0	38.9077815563113	0	149.829965993199	0	0	0	0	0	93.4186837367473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.18	0	0	0	0	0	8.1	0	2.7	8.1	0	0	0	0	0	0	435.5	0	204.3	0	0	0	0	0	0	13.4	0	24.2	13.4	0	2.7	0	0	67.2	0	0	21.5	0	131.7	0	0	0	0	0	61.8	0	0	0	0	0	2.7	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0
1.22	0	0	0	0	0	10.4	0	23.3	10.4	0	0	0	0	0	0	362.7	0	155.4	0	0	0	0	0	0	0	0	33.7	18.1	0	0	0	0	25.9	0	0	25.9	0	155.4	0	0	0	0	0	178.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.28	0	3	0	0	0	0	0	3	6	0	0	0	0	0	0	443.1	0	200.6	0	0	0	0	0	0	18	0	6	3	0	0	0	0	26.9	0	0	41.9	0	179.6	0	3	0	0	0	62.9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1.31	0	0	0	0	2.7	10.7	0	8	10.7	0	0	0	0	0	0	437	0	134	0	0	0	0	0	0	0	0	34.9	2.7	0	0	0	0	40.2	0	0	32.2	0	142.1	0	2.7	0	0	0	139.4	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.35	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	320.9	0	117.6	0	0	0	0	0	0	34.8	0	16	5.3	0	0	0	0	58.8	0	0	13.4	0	173.8	0	0	0	0	0	256.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.4	0	0	2.4002400240024	0	4.9004900490049	4.9004900490049	0	2.4002400240024	4.9004900490049	0	0	0	0	0	0	344.734473447345	0	200.520052005201	0	0	0	0	0	0	0	0	41.6041604160416	22.002200220022	0	0	0	0	22.002200220022	0	0	12.2012201220122	0	154.015401540154	0	0	0	0	0	183.418341834183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
