stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
1.5312	0	0	4.6	0	0	53.5	0	0	0	0	0	0	0	0	0	85.7	0	824	0	0	0	0	0	0	0	0	2.8	5.5	0	0	0	0	0	0	0	5.5	0	10.1	0	0	0	0	0	7.4	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.2257	1.3	0	1.3	0	0	38.9	0	0	0.6	0	0	0	0	0	0	67.6	0	881.4	0	0	0	0	0	0	0	0	3.2	0.6	0	0	0	0	0	0	0	1.3	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.6146	0	0	0	0	0	31.3	0	0	2.9	0	0	0	0	0	0	67.6	0	892.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.7	0	0	2.2	0	1.5	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.0035	0	0	1.000100010001	0	0	42.3042304230423	0	0	3.1003100310031	0	0	0	0	0	0	81.4081408140814	0	860.886088608861	0	0	0	0	0	0	0	0	2.1002100210021	3.1003100310031	0	0	0	1.000100010001	0	0	0	4.1004100410041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000100010001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.0294	0	0	4.7995200479952	0	0	65.3934606539346	0	0	3.1996800319968	0	0	0	0	0	0	84.4915508449155	0	795.820417958204	0	0	0	0	0	0	0	0	11.1988801119888	6.3993600639936	0	0	0	0	3.1996800319968	0	0	7.999200079992	0	17.4982501749825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.6923	1.8	0	0	0	0	56.8	0	0	1.8	0	0	0	0	0	0	142.1	0	772.6	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0	0	0	12.4	0	7.1	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.3551	0	0	16.9016901690169	0	0	87.8087808780878	0	0	1.5001500150015	0	0	0	0	0	0	303.530353035304	0	548.554855485549	0	0	0	0	0	0	0	0	3.1003100310031	6.2006200620062	0	0	0	0	0	0	0	21.6021602160216	0	6.2006200620062	0	0	0	0	0	4.6004600460046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.018	0	0	2.4004800960192	0	0	216.043208641728	0	0	9.70194038807761	0	0	0	0	0	0	480.696139227846	0	235.447089417884	0	0	0	0	0	0	0	0	21.8043608721744	12.1024204840968	0	0	0	2.4004800960192	2.4004800960192	0	0	17.003400680136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.6809	2.5	0	8.7	0	0	54.8	0	0	18.7	0	0	0	0	0	0	622.7	0	171.9	0	0	0	0	0	0	0	0	46.1	17.4	0	0	0	1.2	3.7	0	0	41.1	0	11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.3437	0	0	0	0	0	204.9	0	0	0	0	0	0	0	0	0	88.4	0	635.7	0	0	0	0	0	0	0	0	16	2.6	0	0	0	0	0	0	0	4.6	0	47.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.0066	0	0	6.9	0	0	186.2	0	0	0	0	0	0	0	0	0	579.3	0	200	0	0	0	0	0	0	0	0	13.8	0	0	0	0	0	0	0	0	13.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
