stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	 Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0	0	0	28.57	0	21.43	50	0	0	28.57	0	0	0	0	0	0	642.86	0	135.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14	0	28.57	0	14.29	0	0	0	42.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	23.81	47.62	0	0	23.81	0	0	0	0	0	0	547.62	0	285.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	13.89	0	34.72	20.83	13.89	0	6.94	0	0	0	0	0	0	631.94	0	131.94	0	0	0	0	0	6.94	0	0	6.94	0	0	0	0	0	0	0	0	20.83	0	55.56	0	6.94	0	0	0	48.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788.89	0	177.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.11	0	0	0	0	0	22.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	18.18	0	0	0	18.18	0	0	0	0	0	0	581.82	0	272.73	0	0	0	0	0	0	0	0	36.36	0	0	0	0	0	0	0	0	0	0	0	0	18.18	0	0	0	54.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	7.41	22.22	0	22.22	37.04	0	0	0	0	0	0	607.41	0	229.63	0	0	0	0	0	0	0	0	29.63	0	0	0	0	0	0	0	0	0	0	44.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	11.63	0	34.88	11.63	0	11.63	11.63	0	0	0	0	0	0	593.02	0	244.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.77	0	0	0	0	0	11.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	16.39	0	49.18	0	0	0	0	0	0	0	459.02	0	360.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.39	0	0	0	0	0	0	0	98.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	20.2	40.4	10.1	0	40.4	0	0	0	0	0	0	535.35	0	343.43	0	0	0	0	0	0	0	0	10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	21.28	0	0	0	0	0	0	0	0	0	553.19	0	234.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.38	0	0	0	0	0	85.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	9.17	36.7	0	0	0	0	0	0	458.72	0	449.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	16.53	24.79	8.26	0	16.53	0	0	0	0	0	0	545.45	0	371.9	0	0	0	0	0	0	0	0	16.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	11.11	33.33	0	11.11	11.11	0	0	0	0	0	0	522.22	0	344.44	0	0	0	0	0	0	0	0	22.22	0	0	0	0	0	0	0	0	11.11	0	11.11	0	0	0	0	0	22.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	15.63	0	31.25	15.63	0	15.63	15.63	0	0	0	0	0	0	406.25	0	328.13	0	0	0	0	0	0	0	0	0	15.63	0	0	0	0	0	0	0	31.25	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	6.49	0	12.99	12.99	0	0	32.47	0	0	0	0	0	0	493.51	0	344.16	0	0	0	0	0	0	0	0	0	12.99	0	0	0	0	0	0	0	25.97	0	19.48	0	0	0	0	0	38.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
