stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	 Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0.005	0.00	0.72	7.23	0.00	0.00	8.68	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.00	82.43	0.00	834.42	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	2.89	7.23	0.00	0.00	0.00	1.45	1.45	0.00	0.00	8.68	0.00	36.15	0.00	0.00	0.00	0.00	0.00	4.34	0.00	0.00	0.00	0.00	0.00	2.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.025	0.00	0.00	7.84	0.00	0.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	95.42	0.00	843.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.54	7.84	0.00	0.00	0.00	1.31	3.92	0.00	0.00	5.23	0.00	27.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.035	0.00	0.00	5.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	167.13	0.00	707.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.02	22.47	0.00	0.00	0.00	1.40	9.83	0.00	0.00	36.52	0.00	35.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.085	0.00	3.45	4.60	0.00	0.00	4.60	1.15	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	48.28	0.00	867.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.45	8.05	0.00	0.00	0.00	1.15	4.60	0.00	0.00	6.90	0.00	29.89	0.00	0.00	0.00	0.00	0.00	9.20	0.00	0.00	0.00	0.00	0.00	2.30	0.00	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.105	0.00	2.24	4.47	0.00	0.00	6.71	0.56	0.00	4.47	0.00	0.00	0.00	0.00	0.00	0.00	70.47	0.00	861.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.59	4.47	0.00	0.00	0.00	1.12	2.24	0.00	0.00	0.00	0.00	15.66	0.00	0.00	0.00	0.00	0.00	15.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.36	0.00	1.12	0.00	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.125	0.00	3.83	3.83	0.00	0.00	10.22	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	60.03	0.00	876.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.94	1.28	0.00	0.00	0.00	0.00	5.11	0.00	0.00	5.11	0.00	14.05	0.00	0.00	0.00	0.00	0.00	8.30	0.00	0.00	0.00	0.00	0.00	0.64	0.00	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.145	0.00	1.25	6.27	0.00	0.00	12.53	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	70.18	0.00	824.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	3.76	0.00	0.00	0.00	0.00	1.25	0.00	0.00	3.76	0.00	21.30	0.00	0.00	0.00	0.00	0.00	42.61	0.00	0.00	0.00	0.00	0.00	3.76	0.00	3.76	0.00	0.00	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00
0.165	0.00	1.24	3.71	0.00	0.00	3.71	0.00	0.00	1.24	0.00	0.00	0.00	0.00	0.00	0.00	70.50	0.00	863.33	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	1.24	0.00	0.00	0.00	1.24	3.71	0.00	0.00	2.47	0.00	13.61	0.00	0.00	0.00	0.00	0.00	30.92	0.00	0.00	0.00	0.00	0.00	0.62	0.00	1.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.185	0.00	0.56	3.37	0.00	0.00	2.24	0.00	0.00	2.24	0.00	0.00	0.00	0.00	0.00	0.00	53.84	0.00	868.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.49	1.12	0.00	0.00	0.00	0.00	4.49	0.00	0.00	3.37	0.00	12.34	0.00	0.00	0.00	0.00	0.00	39.26	0.00	0.00	0.00	0.00	0.00	1.12	0.00	2.24	0.00	0.00	0.00	0.00	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.205	0.00	0.00	3.75	0.00	0.00	5.00	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	49.97	0.00	888.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.50	1.25	0.00	0.00	0.00	0.00	7.50	0.00	0.00	3.75	0.00	14.99	0.00	0.00	0.00	0.00	0.00	18.74	0.00	0.00	0.00	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.225	0.00	0.59	1.17	0.00	0.00	4.69	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	65.61	0.00	891.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.51	4.69	0.00	0.00	0.00	0.59	5.86	0.00	0.00	1.17	0.00	11.72	0.00	0.00	0.00	0.00	0.00	5.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.00	0.00
0.265	0.00	2.21	2.21	0.00	0.00	2.21	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	53.04	0.00	893.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.42	1.10	0.00	0.00	0.00	0.55	3.31	0.00	0.00	2.21	0.00	16.57	0.00	0.00	0.00	0.00	0.00	14.92	0.00	0.00	0.00	0.00	0.00	0.55	0.00	1.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00
0.285	0.00	0.57	3.41	0.00	0.00	7.95	0.00	0.00	1.14	0.00	0.00	0.00	0.00	0.00	0.00	51.14	0.00	893.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.27	4.55	0.00	0.00	0.00	0.57	6.82	0.00	0.00	3.41	0.00	12.50	0.00	0.00	0.00	0.00	0.00	11.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.300	0.00	2.53	0.00	0.00	0.00	0.00	0.00	0.00	2.53	0.00	0.00	0.00	0.00	0.00	0.00	15.19	0.00	974.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.320	0.00	2.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.74	0.00	945.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.62	0.00	0.00	0.00	0.00	0.00	2.87	0.00	0.00	5.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.340	0.00	2.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.98	0.00	939.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.24	0.00	0.00	0.00	0.00	5.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.360	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	45.09	0.00	925.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	3.22	0.00	0.00	0.00	0.00	9.66	0.00	0.00	0.00	0.00	3.22	0.00	0.00	0.00	0.00	0.00	8.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.380	0.00	2.28	0.00	0.00	0.00	0.00	0.00	0.00	4.56	0.00	0.00	0.00	0.00	0.00	0.00	20.50	0.00	918.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.28	2.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	43.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.28	0.00	0.00	0.00	0.00	0.00	4.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.400	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.26	0.00	0.00	0.00	0.00	0.00	0.00	6.40	0.00	921.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.13	0.00	0.00	0.00	0.00	10.66	0.00	0.00	0.00	0.00	2.13	0.00	0.00	0.00	0.00	0.00	46.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.13	0.00	0.00	0.00	0.00	0.00	4.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.420	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.64	0.00	916.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.09	0.00	0.00	0.00	0.00	0.00	41.82	0.00	0.00	0.00	0.00	0.00	1.82	0.00	3.64	0.00	0.00	0.00	0.00	0.00	1.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.440	0.00	1.12	0.00	0.00	0.00	0.00	0.00	0.00	2.25	0.00	0.00	0.00	0.00	0.00	0.00	26.97	0.00	931.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.74	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.25	0.00	0.00	0.00	0.00	0.00	24.72	0.00	0.00	0.00	0.00	0.00	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.460	0.00	1.77	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.50	0.00	927.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.09	3.55	0.00	0.00	0.00	0.00	5.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.14	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.480	0.00	1.88	0.00	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.00	0.00	0.00	0.00	37.66	0.00	905.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.65	5.65	0.00	0.00	0.00	0.00	3.77	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.00	0.00	0.00	33.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.500	0.00	0.00	0.00	0.00	0.00	2.80	0.00	0.00	2.80	0.00	0.00	0.00	0.00	0.00	0.00	28.01	0.00	918.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.40	2.80	0.00	0.00	0.00	0.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.520	0.00	2.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.94	0.00	908.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.68	0.00	0.00	0.00	0.00	0.00	21.45	0.00	0.00	0.00	0.00	0.00	8.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
