stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0.5	0	0	0	0	0	192.592592592593	0	0	0	0	0	0	0	0	0	285.185185185185	0	425.925925925926	0	0	0	0	0	0	0	0	7.40740740740741	0	0	0	0	0	0	0	0	0	0	7.40740740740741	0	11.1111111111111	0	0	0	66.6666666666667	0	0	3.7037037037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.5	0	0	0	0	0	183.183183183183	0	0	0	0	0	0	0	0	0	264.264264264264	0	465.465465465465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.012012012012	0	3.003003003003	0	0	0	72.0720720720721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.5	0	0	0	0	0	187.817258883249	0	0	0	0	0	0	0	0	0	309.644670050761	0	431.472081218274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2284263959391	0	5.07614213197969	0	0	0	50.761421319797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.5	0	0	0	0	0	183.544303797468	0	0	6.32911392405063	0	0	0	0	0	0	313.291139240506	0	455.696202531646	0	0	0	0	0	0	0	0	3.16455696202532	0	0	0	0	0	0	0	0	0	0	6.32911392405063	0	0	0	0	0	31.6455696202532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.5	0	0	0	0	0	113.573407202216	0	0	0	0	0	0	0	0	0	299.168975069252	0	554.016620498615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77008310249307	0	0	0	0	0	30.4709141274238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.5	0	0	0	0	0	94.9367088607595	0	0	0	0	0	0	0	0	0	294.303797468354	0	585.443037974684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.49367088607595	0	0	0	0	0	15.8227848101266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.5	0	0	0	0	0	147.590361445783	0	0	0	0	0	0	0	0	0	310.240963855422	0	524.096385542169	0	0	0	0	0	0	0	0	3.01204819277108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.0602409638554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.5	0	3.04878048780488	3.04878048780488	0	0	134.146341463415	0	0	3.04878048780488	0	0	0	0	0	0	277.439024390244	0	567.073170731707	0	0	0	0	0	0	0	0	3.04878048780488	0	0	0	0	0	0	0	0	3.04878048780488	0	6.09756097560976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.5	0	0	0	0	0	77.037037037037	0	0	0	0	0	0	0	0	0	281.481481481482	0	616.296296296296	0	0	0	0	0	0	0	0	13.3333333333333	0	0	0	0	0	0	0	0	0	0	11.8518518518519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.5	0	0	0	0	0	108.270676691729	0	0	3.00751879699248	0	0	0	0	0	0	306.766917293233	0	565.413533834586	0	0	0	0	0	0	0	0	4.51127819548872	0	0	0	0	0	0	0	0	0	0	12.0300751879699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
