stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	 Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0.5	0.00	5.17	12.92	0.00	0.00	2.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	64.60	0.00	105.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.92	10.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.17	0.00	602.07	0.00	0.00	0.00	0.00	0.00	62.02	7.75	23.26	0.00	0.00	0.00	10.34	0.00	25.84	0.00	0.00	0.00	2.58	0.00	7.75	0.00	0.00	0.00	0.00	0.00	0.00	38.76	0.00	0.00	0.00	0.00	0.00	0.00
5.5	0.00	2.80	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	58.82	0.00	103.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.81	2.80	0.00	0.00	0.00	0.00	2.80	0.00	0.00	0.00	0.00	557.42	0.00	0.00	0.00	0.00	0.00	98.04	5.60	22.41	0.00	0.00	0.00	25.21	0.00	22.41	0.00	0.00	0.00	5.60	2.80	19.61	0.00	0.00	0.00	0.00	0.00	0.00	30.81	0.00	0.00	0.00	0.00	0.00	0.00
10.5	0.00	5.65	14.12	0.00	0.00	0.00	0.00	0.00	5.65	0.00	0.00	0.00	0.00	0.00	0.00	25.42	0.00	107.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.60	2.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.65	0.00	567.80	0.00	0.00	0.00	0.00	0.00	87.57	5.65	39.55	0.00	0.00	2.82	31.07	0.00	25.42	0.00	5.65	0.00	0.00	2.82	11.30	0.00	0.00	0.00	0.00	0.00	0.00	31.07	0.00	0.00	0.00	0.00	0.00	0.00
16.5	0.00	2.58	10.31	0.00	0.00	0.00	0.00	0.00	2.58	0.00	0.00	0.00	0.00	0.00	0.00	43.81	0.00	92.78	0.00	0.00	0.00	0.00	0.00	2.58	0.00	0.00	5.15	7.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.58	0.00	595.36	2.58	0.00	0.00	0.00	0.00	77.32	7.73	46.39	0.00	0.00	0.00	33.51	0.00	28.35	0.00	0.00	0.00	0.00	0.00	15.46	0.00	0.00	0.00	0.00	0.00	0.00	23.20	0.00	0.00	0.00	0.00	0.00	0.00
20.5	0.00	0.00	13.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	45.70	0.00	94.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.19	5.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	634.41	5.38	0.00	0.00	0.00	0.00	61.83	0.00	29.57	0.00	2.69	0.00	18.82	0.00	40.32	0.00	0.00	0.00	0.00	2.69	5.38	0.00	0.00	0.00	0.00	0.00	0.00	16.13	0.00	0.00	0.00	0.00	0.00	0.00
25.5	0.00	5.59	19.55	0.00	0.00	2.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.28	0.00	125.70	0.00	0.00	0.00	0.00	0.00	2.79	0.00	0.00	16.76	2.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.59	0.00	474.86	0.00	0.00	0.00	0.00	0.00	136.87	11.17	19.55	0.00	0.00	0.00	47.49	0.00	22.35	0.00	0.00	0.00	0.00	2.79	25.14	2.79	0.00	0.00	0.00	0.00	0.00	25.14	0.00	0.00	0.00	0.00	0.00	0.00
30.5	0.00	0.00	7.96	0.00	0.00	2.65	2.65	0.00	2.65	0.00	0.00	0.00	0.00	0.00	0.00	39.79	0.00	98.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.26	10.61	0.00	0.00	0.00	2.65	0.00	0.00	0.00	2.65	0.00	596.82	0.00	0.00	0.00	0.00	0.00	63.66	7.96	26.53	0.00	0.00	0.00	45.09	0.00	39.79	0.00	0.00	0.00	0.00	0.00	18.57	0.00	0.00	0.00	0.00	0.00	0.00	18.57	0.00	0.00	0.00	0.00	0.00	0.00
35.5	0.00	3.22	9.65	0.00	0.00	0.00	6.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.94	0.00	86.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.65	3.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	553.05	0.00	0.00	0.00	0.00	0.00	90.03	0.00	22.51	0.00	0.00	0.00	99.68	0.00	25.72	0.00	3.22	0.00	0.00	12.86	19.29	0.00	0.00	0.00	0.00	0.00	0.00	25.72	0.00	0.00	0.00	0.00	0.00	0.00
40.5	0.00	5.32	15.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	61.17	0.00	167.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.26	7.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.66	0.00	505.32	0.00	0.00	0.00	0.00	0.00	61.17	15.96	10.64	0.00	0.00	0.00	34.57	0.00	42.55	0.00	0.00	0.00	0.00	5.32	21.28	0.00	0.00	0.00	0.00	0.00	0.00	13.30	0.00	0.00	0.00	0.00	0.00	0.00
45.5	0.00	3.01	3.01	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.00	0.00	0.00	0.00	0.00	21.08	0.00	198.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	36.14	0.00	0.00	0.00	0.00	3.01	0.00	0.00	0.00	3.01	0.00	442.77	9.04	0.00	0.00	0.00	0.00	81.33	12.05	9.04	0.00	3.01	0.00	63.25	9.04	45.18	0.00	0.00	0.00	0.00	3.01	27.11	3.01	0.00	0.00	0.00	0.00	0.00	21.08	0.00	0.00	0.00	0.00	0.00	0.00
50.5	0.00	2.42	7.26	0.00	0.00	4.84	2.42	0.00	2.42	0.00	0.00	0.00	0.00	0.00	0.00	36.32	0.00	128.33	0.00	0.00	0.00	0.00	0.00	2.42	0.00	0.00	16.95	2.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.26	0.00	636.80	0.00	0.00	0.00	0.00	0.00	29.06	4.84	38.74	0.00	0.00	0.00	26.63	0.00	24.21	0.00	0.00	0.00	0.00	4.84	7.26	0.00	0.00	0.00	0.00	0.00	0.00	14.53	0.00	0.00	0.00	0.00	0.00	0.00
55.5	0.00	2.87	5.75	0.00	0.00	2.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	77.59	0.00	91.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.86	2.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.87	0.00	640.80	2.87	0.00	0.00	0.00	0.00	28.74	0.00	20.11	0.00	0.00	0.00	48.85	0.00	25.86	0.00	0.00	0.00	0.00	0.00	8.62	0.00	0.00	0.00	0.00	0.00	0.00	11.49	0.00	0.00	0.00	0.00	0.00	0.00
60.5	0.00	5.76	8.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	46.11	0.00	118.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.94	8.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.76	0.00	605.19	0.00	0.00	0.00	0.00	0.00	40.35	0.00	20.17	0.00	0.00	0.00	34.58	0.00	25.94	0.00	0.00	0.00	0.00	5.76	17.29	5.76	0.00	0.00	0.00	0.00	0.00	25.94	0.00	0.00	0.00	0.00	0.00	0.00
65.5	0.00	2.76	11.05	0.00	0.00	2.76	0.00	0.00	2.76	0.00	0.00	0.00	0.00	0.00	0.00	77.35	0.00	127.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.57	8.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	549.72	2.76	0.00	0.00	0.00	0.00	49.72	2.76	19.34	0.00	0.00	0.00	49.72	0.00	35.91	0.00	0.00	0.00	0.00	5.52	19.34	0.00	0.00	0.00	0.00	0.00	0.00	16.57	0.00	0.00	0.00	0.00	0.00	0.00
70.5	0.00	11.24	5.62	0.00	0.00	2.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.56	0.00	162.92	0.00	0.00	0.00	0.00	0.00	2.81	0.00	0.00	25.28	14.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.81	0.00	542.13	0.00	0.00	0.00	0.00	0.00	33.71	0.00	2.81	0.00	0.00	0.00	56.18	5.62	47.75	0.00	0.00	0.00	5.62	5.62	8.43	0.00	0.00	0.00	0.00	0.00	0.00	14.04	0.00	0.00	0.00	0.00	0.00	0.00
75.5	0.00	2.77	0.00	0.00	0.00	0.00	0.00	0.00	8.31	0.00	0.00	0.00	0.00	0.00	0.00	60.94	0.00	119.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.62	8.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.31	0.00	606.65	5.54	0.00	0.00	0.00	0.00	30.47	5.54	13.85	0.00	0.00	0.00	30.47	0.00	22.16	0.00	0.00	0.00	0.00	0.00	13.85	0.00	0.00	0.00	0.00	0.00	0.00	47.09	0.00	0.00	0.00	0.00	0.00	0.00
80.5	0.00	0.00	4.82	0.00	0.00	2.41	0.00	0.00	2.41	0.00	0.00	0.00	0.00	0.00	0.00	43.37	0.00	130.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.33	12.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.82	0.00	549.40	0.00	0.00	0.00	0.00	0.00	50.60	0.00	16.87	0.00	0.00	0.00	77.11	0.00	19.28	0.00	0.00	0.00	0.00	0.00	9.64	0.00	0.00	0.00	0.00	0.00	0.00	45.78	0.00	0.00	0.00	0.00	0.00	0.00
85.5	0.00	0.00	10.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	57.59	0.00	78.53	0.00	0.00	0.00	0.00	0.00	7.85	0.00	0.00	34.03	10.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.85	0.00	596.86	0.00	0.00	0.00	0.00	0.00	78.53	2.62	0.00	0.00	0.00	0.00	20.94	0.00	26.18	0.00	0.00	0.00	0.00	2.62	28.80	7.85	0.00	0.00	0.00	0.00	0.00	28.80	0.00	0.00	0.00	0.00	0.00	0.00
90.5	0.00	0.00	38.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74.47	0.00	180.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.89	17.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.51	0.00	465.96	4.26	0.00	0.00	0.00	0.00	46.81	4.26	10.64	0.00	4.26	0.00	40.43	0.00	25.53	0.00	0.00	0.00	0.00	6.38	40.43	0.00	0.00	0.00	0.00	0.00	0.00	17.02	0.00	0.00	0.00	0.00	0.00	0.00
96.5	0.00	7.46	34.83	0.00	0.00	2.49	0.00	0.00	2.49	0.00	0.00	0.00	0.00	0.00	0.00	69.65	0.00	208.96	0.00	0.00	0.00	0.00	0.00	4.98	0.00	0.00	22.39	4.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.49	0.00	437.81	2.49	0.00	0.00	0.00	0.00	62.19	4.98	4.98	0.00	0.00	0.00	42.29	0.00	27.36	0.00	0.00	0.00	0.00	9.95	24.88	0.00	0.00	0.00	0.00	0.00	0.00	22.39	0.00	0.00	0.00	0.00	0.00	0.00
100.5	0.00	0.00	28.41	0.00	2.84	0.00	0.00	0.00	5.68	0.00	0.00	0.00	0.00	0.00	0.00	62.50	0.00	164.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	491.48	0.00	0.00	0.00	0.00	0.00	56.82	5.68	31.25	0.00	0.00	0.00	25.57	0.00	31.25	0.00	0.00	0.00	0.00	2.84	45.45	0.00	0.00	0.00	0.00	0.00	0.00	19.89	0.00	0.00	0.00	0.00	0.00	0.00
