stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0.04	0	0	2.350023500235	0	0	0	0	0	0	0	0	0	0	0	0	46.9504695046951	0	377.933779337793	0	0	0	0	0	0	0	0	16.430164301643	11.740117401174	0	0	0	0	0	0	0	0	0	434.274342743427	0	0	0	0	0	42.250422504225	0	16.430164301643	0	0	0	42.250422504225	0	9.39009390093901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.08	0	0	12.050120501205	0	0	0	0	0	3.010030100301	0	0	0	0	0	0	81.3308133081331	0	355.423554235542	0	0	0	0	0	0	0	0	9.04009040090401	18.070180701807	0	0	0	0	0	0	0	0	0	325.30325303253	0	0	0	0	0	36.140361403614	0	3.010030100301	0	0	0	63.2506325063251	0	72.2907229072291	0	3.010030100301	0	0	0	6.02006020060201	0	0	0	0	0	0	0	12.050120501205	0	0	0	0	0
0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9998400016	0	415.9958400416	0	0	0	0	0	0	0	0	5.32994670053299	10.669893301067	0	0	0	0	0	0	0	0	0	378.666213337867	0	0	0	0	0	23.9997600024	0	18.669813301867	0	0	0	98.6690133098669	0	10.669893301067	0	0	0	0	0	0	0	0	0	0	0	0	0	21.329786702133	0	0	0	0	0
0.16	0	0	10.339896601034	0	0	0	0	0	0	0	0	0	0	0	0	54.2594574054259	0	320.406795932041	0	0	0	0	0	0	0	0	23.259767402326	5.169948300517	0	0	0	0	0	0	0	0	0	351.416485835142	0	0	0	0	0	31.009689903101	0	36.179638203618	0	0	0	105.938940610594	0	25.839741602584	0	0	0	0	0	10.339896601034	0	0	0	0	0	0	0	25.839741602584	0	0	0	0	0
0.2	0	0	9.52009520095201	0	0	3.170031700317	0	0	0	0	0	0	0	0	0	47.620476204762	0	501.595015950159	0	0	0	0	0	0	0	0	22.220222202222	25.40025400254	0	0	0	0	0	0	0	0	0	295.242952429524	0	0	0	0	0	15.870158701587	0	12.70012700127	0	0	0	50.7905079050791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.870158701587	0	0	0	0	0
0.24	0	0	11.17	0	0	2.79	0	0	2.79	0	0	0	0	0	0	30.73	0	368.72	0	0	0	0	0	0	0	0	13.97	5.59	0	0	0	0	0	0	0	2.79	0	466.48	0	2.79	0	0	0	8.38	0	2.79	0	0	0	33.52	0	33.52	0	0	0	0	0	0	0	0	0	0	0	0	0	13.97	0	0	0	0	0
0.28	0	0	8.92973210803676	0	0	2.97991060268192	0	0	0	0	0	0	0	0	0	26.7891963241103	0	238.092857214284	0	0	0	0	0	0	0	0	26.7891963241103	8.92973210803676	0	0	0	0	0	0	0	0	0	488.085357439277	0	0	0	0	0	14.8795536133916	0	8.92973210803676	0	0	0	71.4278571642851	0	74.397768066958	0	0	0	0	2.97991060268192	0	0	0	0	0	0	0	0	26.7891963241103	0	0	0	0	0
0.32	0	0	5.63	0	0	0	0	0	2.82	0	0	0	0	0	0	47.89	0	200	0	0	0	0	0	0	0	0	5.63	11.27	0	0	0	0	0	0	0	0	0	608.45	0	0	0	0	0	22.54	0	5.63	0	0	0	36.62	0	25.35	0	0	0	0	0	0	0	0	0	0	0	0	0	28.17	0	0	0	0	0
0.36	0	0	6.15006150061501	0	0	0	0	0	0	0	0	0	0	0	0	61.5406154061541	0	212.312123121231	0	0	0	0	0	0	0	0	9.23009230092301	9.23009230092301	0	0	0	0	0	0	0	0	0	550.775507755078	0	0	0	0	0	18.460184601846	0	6.15006150061501	0	0	0	55.3805538055381	0	46.150461504615	0	0	0	0	0	3.080030800308	0	0	0	0	0	0	0	21.540215402154	0	0	0	0	0
0.44	0	0	0	0	0	3.01993960120798	0	0	0	0	0	0	0	0	0	78.5484290314194	0	211.47577048459	0	0	0	0	0	0	0	0	15.1096978060439	15.1096978060439	0	0	0	0	0	0	0	0	0	513.589728205436	0	0	0	0	0	24.1695166096678	0	15.1096978060439	0	0	0	54.3789124217516	0	42.2991540169197	0	0	0	0	0	0	0	0	0	0	0	0	0	27.1894562108758	0	0	0	0	0
