stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
1.7944	0	1.5001500150015	3.000300030003	0	0	5.2005200520052	0	0	0.7000700070007	0	0	0	0	0	0	102.810281028103	0	782.478247824782	0	0	0	0	0	0	0	0	3.7003700370037	0	0	0	0	0	1.5001500150015	0	0	7.5007500750075	0	64.1064106410641	0	0.7000700070007	0	0	0	18.6018601860186	0	1.5001500150015	0	0	0	3.000300030003	0	0	0	0	0	2.2002200220022	0	1.5001500150015	0	0	0	0	0	0	0	0	0	0	0	0	0
2.6896	0	1.500300060012	3.70074014802961	0	0	5.20104020804161	0	0	0	0	0	0	0	1.500300060012	0	95.7191438287658	0	786.25725145029	0	0	0	0	0	0	0	0	1.500300060012	0	0	0	0	0	6.00120024004801	0	0	4.50090018003601	0	59.1118223644729	0	0.700140028005601	0	0	0	24.7049409881976	0	1.500300060012	0	0	0	0.700140028005601	0	0	0	0	0	5.20104020804161	0	2.2004400880176	0	0	0	0	0	0	0	0	0	0	0	0	0
3.5848	0	0.800160032006401	3.20064012802561	0	0	0.800160032006401	0	0	1.6003200640128	0	0	0	0	0	0	66.2132426485297	0	846.669333866773	0	0	0	0	0	0	0	0	2.4004800960192	0	0	0	0	0	0	0	0	3.20064012802561	0	59.8119623924785	0	0	0	0	0	10.502100420084	0	3.20064012802561	0	0	0	0.800160032006401	0	0	0	0	0	0	0	0.800160032006401	0	0	0	0	0	0	0	0	0	0	0	0	0
4.48	0	0	0	0	0	6.5	0	0	1.6	0	0	0	0	0	0	70.6	0	845.1	0	0	0	0	0	0	0	0	6.5	0	0	0	0	0.8	6.5	0	0	3.2	0	51.9	0	0	0	0	0	6.5	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.3752	0	0.600180054016205	3.90117035110533	0	0	3.90117035110533	0	0	0	0	0	0	0	0	0	79.223767130139	0	829.448834650395	0	0	0	0	0	0	0	0	1.90057017105132	0	0	0	0	0	1.30039011703511	0	0	3.20096028808643	0	69.5208562568771	0	0	0	0	0	3.20096028808643	0	3.20096028808643	0	0	0	0.600180054016205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.2704	0	0.7000700070007	2.2002200220022	0	0	5.9005900590059	0	0	1.5001500150015	0	0	0	0	0	0	73.4073407340734	0	781.278127812781	0	0	0	0	0	0	0	0	5.2005200520052	0	0	0	0	0	4.5004500450045	0	0	4.5004500450045	0	109.81098109811	0	0.7000700070007	0	0	0	7.4007400740074	0	1.5001500150015	0	0	0	0.7000700070007	0	0	0	0	0	0.7000700070007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.1656	0	0	2.20066019805942	0	0	6.70201060318095	0	0	0.700210063018906	0	0	0	0	0	0	69.0207062118636	0	818.045413624087	0	0	0	0	0	0	1.50045013504051	0	4.50135040512154	0	0	0	0	0	4.50135040512154	0	0	2.20066019805942	0	68.2204661398419	0	0	0	0	0	21.0063018905672	0	0.700210063018906	0	0	0	0	0	0	0	0	0	0	0	0.700210063018906	0	0	0	0	0	0	0	0	0	0	0	0	0
8.0608	0	0	21.995600879824	0	0	10.997800439912	0	0	2.7994401119776	0	0	0	0	2.7994401119776	0	232.45350929814	0	521.19576084783	0	0	0	0	0	0	2.7994401119776	0	10.997800439912	0	0	0	6.89862027594481	8.29834033193361	1.3997200559888	0	0	49.4901019796041	0	118.276344731054	0	1.3997200559888	0	0	0	4.09918016396721	0	4.09918016396721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.956	0	0	0	0	0	20.8020802080208	0	0	0	0	0	0	0	0	0	402.540254025403	0	396.739673967397	0	0	0	0	0	0	0.8000800080008	0	10.00100010001	0.8000800080008	0	0	7.5007500750075	18.3018301830183	1.7001700170017	0	0	13.3013301330133	0	126.712671267127	0	0	0	0	0	0	0	0.8000800080008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.783	0	0.8000800080008	0.8000800080008	0	0	18.6018601860186	0	0	8.1008100810081	0	0	0	0	0	0	542.854285428543	0	260.926092609261	0	0	0	0	0	0	3.2003200320032	0	11.3011301130113	0.8000800080008	0	0	3.2003200320032	15.3015301530153	0	0	0	27.5027502750275	0	88.9088908890889	0	0	0	0	0	12.9012901290129	0	4.000400040004	0	0	0	0	0	0	0	0	0	0	0	0.8000800080008	0	0	0	0	0	0	0	0	0	0	0	0	0
