stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0.5	0	0	0	0	0	84.8	0	0	0	0	0	0	0	0	0	106.1	0	163.6	0	0	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	0	0	0	0	0	550.5	0	0	0	89.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.148	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	161.1	0	254.8	0	0	0	0	0	0	0	0	15.3	0	0	0	0	0	0	0	0	2	0	0	0	339.4	0	0	0	19.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.795	0	0	0	0	0	288.771122887711	0	0	0	0	0	0	0	0	0	171.182881711829	0	421.457854214579	0	0	0	0	0	0	0	0	7.0992900709929	0	0	0	0	0	0	0	0	0	0	0	0	106.389361063894	0	0	0	5.0994900509949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.619	0	0	0	0	0	187.8	0	0	0	0	0	0	0	0	0	167.7	0	366.5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	234.9	0	0	0	33.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.443	0	0	0	0	0	298.4	0	0	0	0	0	0	0	0	0	185.2	0	452.7	0	0	0	0	0	0	0	0	11.3	0	0	0	0	0	0	0	0	5.1	0	0	0	44.2	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.09	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	132.6	0	485.1	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.326	0	0	0	0	0	340.8	0	0	0	0	0	0	0	0	0	190.9	0	454.2	0	0	0	0	0	0	0	0	10.1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.13	0	0	0	0	0	444.144414441444	0	0	0	0	0	0	0	0	0	253.325332533253	0	293.329332933293	0	0	0	0	0	0	0	0	9.2009200920092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.934	0	0	0	0	0	343.934393439344	0	0	0	0	0	0	0	0	0	412.241224122412	0	222.422242224222	0	0	0	0	0	0	0	0	16.3016301630163	0	0	0	0	0	0	0	0	5.1005100510051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.336	0	0	0	0	0	337.1	0	0	0	0	0	0	0	0	0	487.8	0	156.8	0	0	0	0	0	0	0	0	6.1	0	0	0	0	0	0	0	0	12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.738	0	0	0	0	0	392.3	0	0	0	0	0	0	0	0	0	488.4	0	104.1	0	0	0	0	0	0	0	0	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
