stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	 Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0.0025	0.00	0.00	3.13	0.00	0.00	140.63	0.00	3.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	312.50	0.00	406.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	3.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	59.38	0.00	15.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.0100	0.00	3.17	6.35	0.00	0.00	247.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	292.06	0.00	384.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.52	15.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.05	0.00	0.00	0.00	0.00	0.00	9.52	0.00	12.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.0200	0.00	3.15	0.00	0.00	0.00	208.20	0.00	0.00	3.15	0.00	0.00	0.00	0.00	0.00	0.00	312.30	0.00	444.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.15	0.00	9.46	0.00	0.00	0.00	0.00	0.00	3.15	0.00	6.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.0300	0.00	3.24	0.00	0.00	0.00	268.61	0.00	0.00	3.24	0.00	0.00	0.00	0.00	0.00	0.00	249.19	0.00	401.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.24	3.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.24	0.00	51.78	0.00	0.00	0.00	0.00	0.00	12.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.0400	0.00	0.00	2.80	0.00	0.00	254.90	0.00	0.00	5.60	0.00	0.00	0.00	0.00	0.00	0.00	212.89	0.00	501.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.40	0.00	0.00	0.00	0.00	0.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.0500	0.00	0.00	0.00	0.00	0.00	294.67	0.00	0.00	15.67	0.00	0.00	0.00	0.00	0.00	0.00	203.76	0.00	420.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.27	6.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.13	0.00	31.35	0.00	3.13	0.00	0.00	0.00	15.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.0600	0.00	0.00	3.06	0.00	0.00	275.23	3.06	0.00	6.12	0.00	0.00	0.00	0.00	0.00	0.00	269.11	0.00	422.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	3.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.06	0.00	3.06	0.00	3.06	0.00	0.00	0.00	6.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.0700	0.00	0.00	3.24	0.00	0.00	207.12	0.00	0.00	9.71	0.00	0.00	0.00	0.00	0.00	0.00	203.88	0.00	543.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.24	3.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.24	0.00	16.18	0.00	0.00	0.00	0.00	0.00	3.24	0.00	3.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.0800	0.00	0.00	0.00	0.00	0.00	179.88	0.00	0.00	9.15	0.00	0.00	0.00	0.00	0.00	0.00	195.12	0.00	600.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.05	0.00	3.05	0.00	3.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.0900	0.00	0.00	0.00	0.00	0.00	276.07	0.00	0.00	3.07	0.00	0.00	0.00	0.00	0.00	0.00	168.71	0.00	518.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.27	3.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.07	0.00	12.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
