stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0.04	0	0	12.1	0	2	8.1	0	0	2	0	0	0	0	0	0	189.1	0	450.7	0	2	0	0	0	0	0	0	6	60.4	0	0	0	0	0	0	0	0	0	267.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.09	0	0	11.998800119988	0	0	0	0	0	0	0	0	0	0	0	0	181.781821817818	0	488.851114888511	0	3.3996600339966	0	0	0	0	0	0	6.8993100689931	65.1934806519348	0	0	0	0	0	0	0	0	0	241.875812418758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.15	0	0	12.3975204959008	0	4.99900019996001	2.49950009998	2.49950009998	0	7.49850029994001	0	0	0	0	0	0	243.75124975005	0	467.606478704259	0	0	0	0	0	0	0	0	4.99900019996001	64.6870625874825	0	0	0	0	0	0	0	0	0	189.062187562488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.19	0	0	18.1	0	0	0	0	0	0	0	0	0	0	0	0	314.3	0	321.8	0	1.5	0	0	0	0	0	0	9	49.6	0	0	0	0	0	0	0	0	0	285.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.25	0	0	6.7	0	0	4.5	0	0	3.3	0	0	0	0	0	0	293.2	0	447.1	0	0	0	0	0	0	0	0	6.7	66.9	0	0	0	0	0	0	0	15.6	0	150.5	1.1	0	0	0	0	1.1	0	0	0	0	0	1.1	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.29	0	0	16.998300169983	0	0	4.2995700429957	0	0	4.2995700429957	0	0	0	0	0	0	205.879412058794	0	452.154784521548	0	0	0	0	0	0	0	0	12.6987301269873	99.7900209979002	0	0	0	0	0	0	0	0	0	199.5800419958	0	0	0	0	0	4.2995700429957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.35	0	0	4.89902019596081	0	0	0	0	2.49950009998	4.89902019596081	2.49950009998	0	0	0	0	0	215.656868626275	0	441.111777644471	0	0	0	0	0	0	0	0	17.1965606878624	122.575484903019	0	0	0	0	0	0	0	0	0	188.662267546491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.39	1.7996400719856	0	18.2963407318536	0	0	3.69926014797041	0	0	3.69926014797041	0	0	0	0	0	0	175.464907018596	0	526.394721055789	0	0	0	0	0	0	0	0	23.7952409518096	96.8806238752249	0	0	0	0	0	0	0	0	0	146.27074585083	0	0	0	0	0	3.69926014797041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.45	0	0	5.6	0	0	5.6	0	2.8	0	0	0	0	0	0	0	224.1	0	655.5	0	0	0	0	0	2.8	0	0	14	39.2	0	0	0	0	0	0	0	0	0	50.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.49	5.1005100510051	0	12.001200120012	0	0	1.7001700170017	0	0	0	0	0	0	0	0	0	106.010601060106	0	581.258125812581	0	0	0	0	0	0	1.7001700170017	0	6.8006800680068	56.4056405640564	0	0	0	0	0	0	0	0	0	223.922392239224	0	0	0	0	0	3.4003400340034	0	0	0	0	0	1.7001700170017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
